timestep,agent_id,x,y,panic_level,evacuated,age,stamina,family_id
1,0,39,63,0.0,False,39,0.99,6
1,1,5,8,0.0,False,11,0.99,2
1,2,70,41,0.0,False,46,0.99,4
1,55,5,14,0.0,False,33,0.99,9
1,54,83,48,0.0,False,9,0.99,13
1,53,39,97,0.0,False,25,0.99,13
1,52,22,60,0.0,False,26,0.99,4
1,3,19,27,0.0,False,22,0.99,9
1,4,54,54,0.0,False,7,0.99,1
1,5,77,38,0.0,False,30,0.99,3
1,7,50,33,0.0,False,31,0.99,1
1,6,49,4,0.0,False,29,0.99,0
1,14,37,29,0.0,False,62,0.99,15
1,8,79,33,0.0,False,70,0.99,13
1,9,87,45,0.0,False,61,0.99,11
1,74,6,54,0.0,False,63,0.99,3
1,10,24,43,0.0,False,32,0.99,15
1,11,13,19,0.0,False,17,0.99,12
1,12,92,75,0.0,False,50,0.99,7
1,13,49,25,0.0,False,8,0.99,10
1,15,66,74,0.0,False,67,0.99,4
1,69,89,93,0.0,False,65,0.99,11
1,70,86,52,0.0,False,13,0.99,4
1,71,73,2,0.0,False,56,0.99,13
1,72,75,44,0.0,False,37,0.99,3
1,73,77,7,0.0,False,76,0.99,6
1,51,0,72,0.0,False,32,0.99,9
1,24,3,70,0.0,False,41,0.99,9
1,25,93,62,0.0,False,80,0.99,7
1,26,25,35,0.0,False,50,0.99,14
1,27,84,27,0.0,False,73,0.99,7
1,28,71,59,0.0,False,51,0.99,0
1,16,54,12,0.0,False,18,0.99,1
1,17,88,35,0.0,False,75,0.99,2
1,18,72,67,0.0,False,72,0.99,5
1,19,36,40,0.0,False,14,0.99,1
1,20,59,1,0.0,False,71,0.99,9
1,21,45,60,0.0,False,27,0.99,7
1,22,77,48,0.0,False,6,0.99,12
1,23,99,28,0.0,False,27,0.99,9
1,56,53,76,0.0,False,19,0.99,14
1,57,6,95,0.0,False,37,0.99,1
1,58,18,56,0.0,False,60,0.99,13
1,59,24,78,0.0,False,69,0.99,7
1,60,99,57,0.0,False,51,0.99,4
1,61,23,77,0.0,False,59,0.99,15
1,62,0,51,0.0,False,17,0.99,8
1,63,21,94,0.0,False,73,0.99,12
1,64,58,88,0.0,False,76,0.99,0
1,65,11,72,0.0,False,67,0.99,1
1,66,35,45,0.0,False,10,0.99,1
1,67,68,71,0.0,False,29,0.99,9
1,68,94,90,0.0,False,12,0.99,11
1,39,95,59,0.0,False,61,0.99,2
1,38,24,70,0.0,False,47,0.99,11
1,37,20,87,0.0,False,79,0.99,7
1,36,56,66,0.0,False,65,0.99,9
1,35,29,32,0.0,False,62,0.99,11
1,34,91,15,0.0,False,12,0.99,2
1,33,59,98,0.0,False,54,0.99,2
1,32,17,15,0.0,False,24,0.99,2
1,31,79,35,0.0,False,42,0.99,10
1,30,33,22,0.0,False,76,0.99,0
1,29,59,73,0.0,False,46,0.99,11
1,44,68,9,0.0,False,31,0.99,2
1,43,20,62,0.0,False,34,0.99,13
1,42,82,69,0.0,False,60,0.99,2
1,41,74,19,0.0,False,59,0.99,10
1,40,5,43,0.0,False,29,0.99,15
1,47,8,13,0.0,False,80,0.99,13
1,46,90,29,0.0,False,50,0.99,3
1,45,6,17,0.0,False,48,0.99,4
1,48,20,2,0.0,False,66,0.99,10
1,49,52,48,0.0,False,29,0.99,13
1,50,34,71,0.0,False,12,0.99,0
2,13,48,24,0.0,False,8,0.98,10
2,14,36,28,0.0,False,62,0.98,15
2,17,87,34,0.0,False,75,0.98,2
2,16,53,11,0.0,False,18,0.98,1
2,15,65,74,0.0,False,67,0.98,4
2,22,76,47,0.0,False,6,0.98,12
2,21,44,59,0.0,False,27,0.98,7
2,20,58,0,0.0,False,71,0.98,9
2,19,35,39,0.0,False,14,0.98,1
2,18,71,66,0.0,False,72,0.98,5
2,1,6,7,0.0,False,11,0.98,2
2,3,18,26,0.0,False,22,0.98,9
2,34,90,14,0.0,False,12,0.98,2
2,35,28,31,0.0,False,62,0.98,11
2,36,55,65,0.0,False,65,0.98,9
2,37,19,86,0.0,False,79,0.98,7
2,38,23,69,0.0,False,47,0.98,11
2,39,94,58,0.0,False,61,0.98,2
2,40,6,42,0.0,False,29,0.98,15
2,73,76,6,0.0,False,76,0.98,6
2,74,5,53,0.0,False,63,0.98,3
2,72,74,43,0.0,False,37,0.98,3
2,71,74,2,0.0,False,56,0.98,13
2,70,85,51,0.0,False,13,0.98,4
2,69,88,92,0.0,False,65,0.98,11
2,68,95,90,0.0,False,12,0.98,11
2,67,67,70,0.0,False,29,0.98,9
2,66,34,44,0.0,False,10,0.98,1
2,65,10,71,0.0,False,67,0.98,1
