timestep,agent_id,x,y,panic_level,evacuated,age,stamina,family_id
1,0,89,98,0.0,False,48,0.99,8
1,1,26,79,0.0,False,13,0.99,12
1,2,76,59,0.0,False,61,0.99,14
1,3,41,27,0.0,False,72,0.99,0
1,59,38,95,0.0,False,57,0.99,3
1,58,73,81,0.0,False,25,0.99,7
1,57,70,42,0.0,False,43,0.99,12
1,56,38,75,0.0,False,59,0.99,5
1,5,66,7,0.0,False,33,0.99,14
1,6,39,90,0.0,False,68,0.99,0
1,4,5,70,0.0,False,46,0.99,12
1,15,70,11,0.0,False,33,0.99,10
1,14,91,66,0.0,False,38,0.99,12
1,13,38,79,0.0,False,18,0.99,14
1,12,5,58,0.0,False,39,0.99,7
1,11,89,89,0.0,False,78,0.99,8
1,25,33,65,0.0,False,7,0.99,14
1,24,41,69,0.0,False,6,0.99,2
1,26,89,47,0.0,False,49,0.99,4
1,23,71,96,0.0,False,31,0.99,6
1,22,75,49,0.0,False,67,0.99,4
1,21,76,87,0.0,False,79,0.99,2
1,20,85,28,0.0,False,52,0.99,0
1,19,94,10,0.0,False,60,0.99,13
1,18,33,20,0.0,False,14,0.99,6
1,17,7,25,0.0,False,16,0.99,14
1,16,30,57,0.0,False,67,0.99,15
1,67,68,93,0.0,False,25,0.99,10
1,71,80,5,0.0,False,73,0.99,0
1,68,77,8,0.0,False,73,0.99,8
1,69,27,6,0.0,False,55,0.99,14
1,70,95,41,0.0,False,57,0.99,9
1,10,11,83,0.0,False,80,0.99,7
1,8,59,11,0.0,False,47,0.99,14
1,9,16,41,0.0,False,40,0.99,4
1,34,95,96,0.0,False,59,0.99,1
1,33,93,28,0.0,False,44,0.99,0
1,32,75,58,0.0,False,58,0.99,6
1,31,89,20,0.0,False,25,0.99,9
1,30,82,14,0.0,False,48,0.99,10
1,36,88,88,0.0,False,26,0.99,10
1,35,12,63,0.0,False,41,0.99,12
1,37,11,90,0.0,False,61,0.99,2
1,42,28,12,0.0,False,22,0.99,6
1,41,47,94,0.0,False,34,0.99,12
1,40,73,74,0.0,False,39,0.99,5
1,39,94,23,0.0,False,19,0.99,1
1,38,27,82,0.0,False,71,0.99,6
1,46,18,13,0.0,False,67,0.99,12
1,47,20,31,0.0,False,21,0.99,7
