timestep,active_agents,evacuated_agents,avg_panic,max_panic,avg_stamina
1,75,0,0.0,0.0,0.9899999999999998
2,74,1,0.0,0.0,0.9799999999999992
3,73,2,0.0,0.0,0.9699999999999993
4,73,2,0.0,0.0,0.9600000000000002
5,73,2,0.0,0.0,0.950136986301371
6,71,4,0.0,0.0,0.9402816901408442
7,71,4,0.0,0.0,0.930281690140845
8,70,5,0.0,0.0,0.9204285714285726
9,70,5,0.0,0.0,0.9104285714285698
10,70,5,0.0,0.0,0.9004285714285705
11,70,5,0.0,0.0,0.8905714285714289
12,70,5,0.0,0.0,0.8807142857142866
13,69,6,0.0,0.0,0.8707246376811585
14,69,6,0.0,0.0,0.8607246376811589
15,69,6,0.0,0.0,0.8507246376811602
16,68,7,0.0,0.0,0.8404411764705894
17,68,7,0.0,0.0,0.8304411764705871
18,67,8,0.0,0.0,0.8202985074626867
19,67,8,0.0,0.0,0.8104477611940304
20,66,9,0.0,0.0,0.8006060606060598
21,66,9,0.0,0.0,0.7907575757575751
22,65,10,0.0,0.0,0.7810769230769236
23,65,10,0.0,0.0,0.7713846153846161
24,64,11,0.0,0.0,0.7617187499999989
25,64,11,0.0,0.0,0.7520312499999999
26,63,12,0.0,0.0,0.7417460317460319
27,62,13,0.0,0.0,0.7317741935483864
28,62,13,0.0,0.0,0.7220967741935476
29,62,13,0.0,0.0,0.7124193548387098
30,62,13,0.0,0.0,0.7027419354838712
31,61,14,0.0,0.0,0.6927868852459015
32,59,16,0.0,0.0,0.6832203389830506
33,59,16,0.0,0.0,0.6735593220338979
34,58,17,0.0,0.0,0.6636206896551718
35,57,18,0.0,0.0,0.6535087719298239
36,57,18,0.0,0.0,0.643859649122807
37,57,18,0.0,0.0,0.6342105263157892
38,57,18,0.0,0.0,0.6250877192982454
39,57,18,0.0,0.0,0.6156140350877188
40,56,19,0.0,0.0,0.6055357142857145
41,56,19,0.0,0.0,0.5960714285714283
42,55,20,0.0,0.0,0.586727272727272
43,55,20,0.0,0.0,0.5774545454545453
44,55,20,0.0,0.0,0.5681818181818175
45,55,20,0.0,0.0,0.5589090909090908
46,55,20,0.0,0.0,0.5499999999999996
47,55,20,0.0,0.0,0.5409090909090909
48,55,20,0.0,0.0,0.5321818181818179
49,55,20,0.0,0.0,0.5230909090909084
50,55,20,0.0,0.0,0.5141818181818179
